DBN,DISTRICT,SCHOOL,SCHOOL SUPPORT ORGANIZATION/NETWORK,PROGRESS REPORT TYPE,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE
29Q192,29,IS 192 THE LINDEN,CEIPEA1,ESMS,Middle School, 2.99 ,B,59.31,0.431,0.578,0.55,5.25,Proficient
29Q195,29,PS 195 WILLIAM HABERLE,ICI8,ESMS,Elementary School, 63.94 ,B,55.18,0.486,0.44,0.576,3,Proficient
29Q208,29,P.S./I.S. 208,ICI8,ESMS,K-8 School, 50.53 ,A,66.67,0.581,0.742,0.581,3.75,Well-Developed
29Q231,29,IS 231 MAGNETECH 2000,ICI18,ESMS,Middle School, 3.05 ,C,40.18,0.364,0.533,0.34,0,Proficient
29Q238,29,I S 238 SUSAN B ANTHONY,ESO16,ESMS,Middle School, 3.21 ,B,57.59,0.568,0.552,0.563,1.5,Proficient
29Q259,29,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOA,ESO5,ESMS,Middle School, 3.34 ,B,56.19,0.578,0.603,0.508,1.5,Proficient
29Q268,29,P.S. 268,ICI8,ESMS,K-8 School, 57.52 ,B,54.05,0.494,0.565,0.512,1.5,Proficient
29Q270,29,P.S./I.S. 270Q,ICI8,ESMS,K-8 School, 53.68 ,A,68.99,0.755,0.763,0.591,2.25,Well-Developed
29Q272,29,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,ICI2,HS,High School, 2.67 ,B,60.88,0.524,0.65,0.555,3,Proficient
29Q492,29,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNE",ESO8,HS,High School, 2.69 ,C,39.09,0.197,0.656,0.299,0,Proficient
29Q494,29,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",ICI14,HS,High School, 2.64 ,C,45.31,0.24,0.612,0.425,0,Proficient
