Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Current Source Energy Intensity (kBtu/Sq. Ft.),2010 Current Total GHG Emissions (MtCO2e) â ,2011 Rating * ,2011 Source Energy Intensity (kBtu/Sq. Ft.) ,2011 Total GHG Emissions (MtCO2e) † ,Address ,City ,State ,Zip ,Gross Sq.Ft. ,Year Built 
3,4827,39,3327687,Brooklyn South 9 District Garage,DSNY,N/A,520.2,344.1,N/A,510.8,352.1,690 New York Ave,Brooklyn,NY,11203,25725,1933
3,3871,1,3252759,Cioffe Borough Repair Shop,DSNY,N/A,579.5,1808.5,N/A,556.2,1752.8,106-01 Ave D,Brooklyn,NY,11236,59260,1990
2,2766,320,2006748,Citywide Transport Unit,DSNY,N/A,81.1,52.7,N/A,74.1,48.1,1383 Randall Ave,Bronx,NY,10474,36135,1953
4,2611,447,4462340,Enforcement,DSNY,99,68.7,34.2,99,66.5,33.1,51-15 Flushing Ave,Queens,NY,11378,17700,1930
5,99999,9999,5158123,Fresh Kills Landfill - Boro Repair Shop / SI 3,DSNY,N/A,781.2,366.7,N/A,769.2,361.1,60 Muldoon Ave,Staten Island,NY,10309,73260,1970
5,99999,1,9999999,Fresh Kills Landfill - MTS,DSNY,N/A,5.2,26.3,N/A,6.1,30.8,299 West Service Rd,Staten Island,NY,10309,180000,2005
5,2685,100,5000000,Fresh Kills Landfill - SI 3 District Garage; RBS,DSNY,N/A,20.3,61.3,N/A,22.4,67.5,600 West Service Rd,Staten Island,NY,10314,75000,1982
1,595,87,1010354,Manhattan 1 District Garage,DSNY,N/A,2918.7,1131.3,N/A,2898.9,1147.9,297 West St,New York,NY,10013,14050,1920
1,1779,1,1054511,Manhattan 10 District Garage,DSNY,N/A,203.7,155.9,N/A,189.2,144.8,110 East 131st St,New York,NY,10037,67564,1936
1,1671,1,1052640,Manhattan 11 District Garage,DSNY,N/A,74.9,77.5,N/A,73.5,76,343 East 99th St,New York,NY,10029,47000,1920
1,2196,1,1064485,Manhattan 12 District Garage,DSNY,N/A,320.4,324.5,N/A,253.7,262.8,301 West 215th St,New York,NY,10034,73000,1986
1,676,3,1085462,Manhattan 6 Vehicle Storage & Fueling,DSNY,N/A,74.7,75.6,N/A,75.4,75,657 West 30th St,New York,NY,10001,60000,1990
1,1109,20,1076221,Manhattan 7 District Garage,DSNY,N/A,2679,8763.1,N/A,3182.9,9933.7,West 57th St Pier 97,New York,NY,10019,60000,1950
1,670,50,1012267,Manhattan Borough Repair Shop,DSNY,N/A,318.5,1947,N/A,280.6,1694.2,640 West 26th St,New York,NY,10001,180000,1991
1,1772,31,1054433,Manhattan Lot Cleaning,DSNY,N/A,135.3,126.1,N/A,145,136.1,177 East 123rd St,New York,NY,10035,27819,1925
4,2361,268,4462505,MTS HQ; Enforcement; PIU,DSNY,N/A,445.6,13695.4,N/A,459.4,14495.1,58-73 53rd Ave,Queens,NY,11377,739478,1924
1,274,6,1079605,Print Shop / Storage,DSNY,N/A,40.3,51,N/A,38.2,47.9,134 Madison St,New York,NY,10002,33831,1936
4,4346,75,4802407,Queens 7/11 District Garage Annex,DSNY,N/A,412.9,1637.6,N/A,379,1499.1,120-15 31st Ave,Queens,NY,11354,184000,2000
4,2347,55,4054170,Queens Borough Repair Shop,DSNY,N/A,381.2,1155,N/A,357.6,1081.5,52-07 58th St,Queens,NY,11377,134408,1988
4,7850,20,4445411,Queens East 11/13 District Garage,DSNY,N/A,671.1,1201.9,N/A,583.7,1014.1,75-05 Douglaston Pkwy,Queens,NY,11364,86000,1990
4,15001,73,4433112,Queens East 13 District Garage,DSNY,N/A,470.2,464.5,N/A,619.3,641.1,153-67 146th Ave,Queens,NY,11434,56515,1989
4,523,12,4005787,Queens West 1 District Garage,DSNY,N/A,651.1,405.3,N/A,688.1,439.4,34-28 21st St,Queens,NY,11106,33725,1931
4,2600,1,4307983,Queens West 5 & 5A District Garages,DSNY,N/A,1209.5,1381,N/A,1081.2,1228.7,48-01 58th Rd,Queens,NY,11378,91868,1990
4,9375,261,4196969,Queens West 9 District Garage,DSNY,N/A,306.4,424.2,N/A,312.4,441.6,132-05 Atlantic Ave,Queens,NY,11418,72147,1937
4,13485,15,4286887,Section Station 136-8,DSNY,N/A,2.7,1.7,N/A,2.4,1.5,145-25 228th St,Queens,NY,11413,13500,1965
2,3015,58,2010955,"Section Station 92, Bronx Enforcement",DSNY,N/A,109,63.5,N/A,115.7,67.3,1787 West Farms Rd,Bronx,NY,10460,32700,1929
5,34,1,5106487,Staten Island 1 District Garage,DSNY,N/A,177.4,388.6,N/A,148.5,335.5,92 Brook St,Staten Island,NY,10301,114535,1950
5,2520,1,5828489,Staten Island 2 District Garage,DSNY,N/A,416,666.5,N/A,553.9,994.3,2500 Richmond Ave,Staten Island,NY,10314,80000,1982
1,1109,99,1076222,West 59th Street MTS,DSNY,N/A,76.6,234.8,N/A,69.6,213.3,650 Pier 99,New York,NY,10019,109000,1986
2,3247,2,2098782,Armory,EDC,N/A,9,91.9,N/A,10.6,108.4,29 West Kingsbridge Rd,Bronx,NY,10468,550000,1917
1,2124,43,1062993,Audubon Building,EDC,N/A,50.9,189.5,N/A,51.4,190.3,3950 Broadway,New York,NY,10032,126744,1900
3,61,515,9999999,Brooklyn Cruise Terminal Pier 11,EDC,N/A,278.2,1653.7,N/A,339,2168.7,Conover & Summit Sts,Brooklyn,NY,11231,180000,1960
1,1640,1,1079198,La Marqueta,EDC,N/A,379.9,150.7,N/A,562.7,198.8,1607 Park Ave,New York,NY,10029,10000,1936
3,5132,18,3117845,Leow's King's Theatre,EDC,N/A,0.2,0.5,N/A,0.3,0.6,1029 Flatbush Ave,Brooklyn,NY,11226,78000,1929
1,1109,30,1087587,Passenger Ship Terminal,EDC,N/A,147.1,2452.6,N/A,150.7,2512.3,711 12th Ave,New York,NY,10019,593125,1930
2,4333,1,2101003,Bronx CO,FDNY,N/A,1457.2,416.6,N/A,1579.2,451.5,1129 East 180th St,Bronx,NY,10460,10860,1936
3,1183,51,3029669,Brooklyn CO,FDNY,N/A,621.2,206.4,N/A,882.4,293.2,35 Empire Blvd,Brooklyn,NY,11225,10826,1890
3,335,10,3004233,Communications Garage,FDNY,2,240.6,246.3,3,229,235.9,87 Union St,Brooklyn,NY,11231,22400,1950
1,241,13,1805208,EMS 4,FDNY,N/A,107.2,36.2,N/A,106.8,36,Pier 36,New York,NY,10002,12000,1954
4,46,34,4000333,Engine Co 258 & Ladder Co. 115,FDNY,N/A,309.1,123.1,N/A,318,126.8,10-40 47th Ave,Queens,NY,11101,13500,1904
5,3153,38,5046179,"Engine Co. 160 & Rescue 5, Division 8",FDNY,N/A,307.4,111.5,N/A,282.9,102.2,1850 Clove Rd,Staten Island,NY,10304,13200,1931
5,7067,252,5851738,Engine Co. 168,FDNY,N/A,226.6,141.5,N/A,216.1,133,1100 Rossville Ave,Staten Island,NY,10309,19610,2002
3,799,5,3013535,"Engine Co. 201 & Ladder 114, Batt. 40",FDNY,N/A,239.1,132.9,N/A,245.3,138.2,5113 4th Ave,Brooklyn,NY,11220,17772,2006
3,2203,16,3060298,Engine Co. 211 & Ladder Co. 119,FDNY,N/A,300.6,318.7,N/A,298.4,321.7,26 Hooper St,Brooklyn,NY,11211,28285,1925
3,1512,1,3040990,Engine Co. 233 & Ladder Co. 176,FDNY,N/A,298.1,114,N/A,291.4,111.3,25 Rockaway Ave,Brooklyn,NY,11233,13519,1986
4,307,29,4003673,"Engine Co. 259 & Ladder Co. 128, Batt. 45",FDNY,N/A,268.7,135.3,N/A,263.4,137.6,33-51 Greenpoint Ave,Queens,NY,11101,15790,1931
4,5559,25,4529057,"Engine Co. 264 & Ladder Co. 134, Engine Co. 328",FDNY,N/A,256.2,120.5,N/A,261.5,125.7,1617 Central Ave,Queens,NY,11691,16000,1959
4,16127,1,4439014,Engine Co. 266,FDNY,N/A,184.6,70.3,N/A,168.4,63.8,92-20 Rockaway Beach Blvd,Queens,NY,11693,11960,1929
3,3281,22,3074885,"Engine Co. 271 & Ladder Co. 124, Batt. 28",FDNY,N/A,263.6,104.6,N/A,265.2,104,392 Himrod St,Brooklyn,NY,11237,13108,1908
3,3343,29,3076461,Engine Co. 277 & Ladder Co. 112,FDNY,N/A,321.8,141.9,N/A,373.8,170.2,582 Knickerbocker Ave,Brooklyn,NY,11221,15000,2007
3,5597,44,3135859,Engine Co. 282 & Ladder Co. 148,FDNY,N/A,278.3,115.7,N/A,256,105.9,4210 12th Ave,Brooklyn,NY,11219,13756,1912
1,794,64,1014723,"Engine Co. 3 & Ladder Co. 12, Batt. 7",FDNY,N/A,191,103.6,N/A,185.4,99.7,146 West 19th St,New York,NY,10011,17586,1967
1,531,49,1008526,Engine Co. 33 & Ladder Co. 9,FDNY,N/A,284.4,113.9,N/A,270.7,108.5,42 Great Jones St,New York,NY,10012,12649,1898
1,1402,29,1072190,"Engine Co. 39, Ladder Co. 16 & 19th Precinct",FDNY,N/A,1034.1,323.9,N/A,1104.5,365.9,157 East 67th St,New York,NY,10065,12960,1887
1,35,1,1000867,Engine Co. 4 & Ladder Co. 15,FDNY,N/A,492.9,176.3,N/A,382.1,164.1,46-48 South St,New York,NY,10005,15750,1987
2,3126,12,2013192,"Engine Co. 45 & Ladder Co. 58, Batt. 18",FDNY,N/A,242.4,111.4,N/A,254,120.2,925 East Tremont Ave,Bronx,NY,10460,15225,1931
2,3025,25,2011061,"Engine Co. 48 & Ladder Co. 56, Division 7",FDNY,N/A,217.6,109.8,N/A,183.2,93.6,2417 Webster Ave,Bronx,NY,10458,17242,1975
2,2388,45,2001584,"Engine Co. 50 & Ladder Co. 19, Batt. 26",FDNY,N/A,225,71.5,N/A,220.1,69.9,1155 Washington Ave,Bronx,NY,10456,13500,1977
1,150,25,1001647,"Engine Co. 7 & Ladder Co. 1, Batt. 1",FDNY,N/A,196.1,117.7,N/A,231.6,146.7,100 Duane St,New York,NY,10007,19381,1904
2,2377,1,2001400,"Engine Co. 71 & Ladder Co. 55, Division 6",FDNY,N/A,346.4,149.9,N/A,319.6,138.2,720 Melrose Ave,Bronx,NY,10455,14416,1988
2,2675,32,2094318,Engine Co. 73 & Ladder Co. 42,FDNY,N/A,294.4,139.1,N/A,297.5,138.4,665 Prospect Ave,Bronx,NY,10455,15170,1900
2,3086,38,2086781,Engine Co. 88 & Ladder Co. 38,FDNY,N/A,256.2,101.4,N/A,248.3,97.2,2225 Belmont Ave,Bronx,NY,10457,12600,1908
2,4049,49,2043470,Engine Co. 90 & Ladder Co. 41,FDNY,N/A,248.9,95.4,N/A,270.3,103.6,1843 White Plains Rd,Bronx,NY,10462,12520,1909
1,2155,30,1075518,"Engine Co. 93, Ladder Co. 45 & Batt. 13",FDNY,N/A,239.6,165,N/A,251,178.8,515 West 181st St,New York,NY,10033,21883,1913
1,579,11,1009739,FDNY Museum,FDNY,N/A,201.8,100.6,N/A,190.7,96.1,278 Spring St,New York,NY,10013,14901,1912
1,1819,15,1085640,Fire Academy Randall's Island Campus: Fire Academy Randall's Island,FDNY,N/A,163.6,1109,N/A,153.1,1038.2,Wards Island,New York,NY,10035,178700,1970
3,2047,11,3058187,Fire Headquarters,FDNY,41,357.6,3078.5,41,352.8,3035,9 Metrotech Ctr,Brooklyn,NY,11201,316942,1996
4,5917,1,9999999,Fort Totten Campus: Fort Totten,FDNY,N/A,72.5,976.5,N/A,78,1051.1,Little Neck Ave Ft Totten,Queens,NY,11359,479345,1925
1,495,7,1007523,Ladder Co. 20 & Medical & BFI Division,FDNY,N/A,400.8,263.8,N/A,394.4,260.8,251 Lafayette St,New York,NY,10012,28866,1965
1,1169,26,1030885,Ladder Co. 25 & Division 3,FDNY,N/A,362.9,143.8,N/A,350.6,138.2,205 West 77th St,New York,NY,10024,13300,1900
1,99999,9999,9999999,Manhattan Co.,FDNY,N/A,933.4,353.3,N/A,779,294.8,79th St Transverse Rd & E 79th St,New York,NY,10021,13465,1901
4,3866,162,4094697,Queens CO,FDNY,N/A,1659.4,502,N/A,1833.1,561.2,83-24 Woodhaven Blvd,Queens,NY,11385,10762,1900
2,2909,40,2009541,Rescue 3,FDNY,N/A,73.6,54.2,N/A,72.2,50.8,453 East 176th St,Bronx,NY,10457,21479,2009
5,319,1,5112427,Staten Island CO,FDNY,N/A,1015.7,347.6,N/A,923.6,316.1,65 Slosson Ave,Staten Island,NY,10314,12174,1931
4,246,1,4003435,Technical Services Warehouse,FDNY,61,97.3,253.9,61,96.4,251.5,34-02 Queens Blvd,Queens,NY,11101,188000,1941
4,254,1,4003451,Transportation Repair Shop,FDNY,18,272,1377.7,18,258.8,1319.1,48-67 34th St,Queens,NY,11101,167373,1947
1,777,1,1014250,"FIT, Bldg A, The David Dubinsky Student Center",FIT,N/A,526.3,7132.5,N/A,588.5,8197.7,340 8th Ave,New York,NY,10001,271840,
1,777,1,1014250,"FIT, Bldg B, Business and Liberal Arts Center",FIT,N/A,521.9,5118.8,N/A,582.8,5878.1,340 8th Ave,New York,NY,10001,197000,
1,777,18,1014251,"FIT, Bldg C, Marvin Feldman Center",FIT,N/A,522.4,8236.6,N/A,583.5,9459.4,207 West 27th St,New York,NY,10001,316300,
1,777,37,1014252,"FIT, Bldg D, Fred P. Pomerantz Art and Design Center",FIT,N/A,521.7,6063.9,N/A,582.8,6964.9,300 7th Ave,New York,NY,10001,233167,
1,776,40,1014236,"FIT, Bldg E, Shirley Goodman Resource Center",FIT,N/A,290.5,1714.2,N/A,295.7,1752.6,200 West 27th St,New York,NY,10001,157540,
3,1751,25,3329636,Bedford Stuyvesant Alcohol Treatment Center,HHC,66,286.6,166.9,43,365.2,211.5,722 Myrtle Ave,Brooklyn,NY,11205,17400,1940
1,962,100,1086515,Bellevue Hospital Campus: Bellevue Hospital,HHC,1,728.5,73949.3,1,748.6,76031.1,462 1st Ave,New York,NY,10016,2103500,1968
1,1373,20,1085548,Coler-Goldwater Hospital Campus: Hospital & Nurs.Facility,HHC,99,310.5,19663.5,99,293.8,18325.5,200 Main St,New York,NY,10044,602700,1936
1,1373,50,1040750,Coler-Goldwater Hospital Campus: Specialty Hospital & Nurs.Facility,HHC,99,310.5,19663.5,99,293.8,18325.5,900 Main St,New York,NY,10044,766700,1948
3,7239,1,3337274,Coney Island Hospital Building 1 DEM,HHC,98,307,5505.1,98,299.5,5368,2601 Ocean Pkwy,Brooklyn,NY,11235,637100,1931
3,2039,101,3251647,Cumberland Diagnostic & Treatment Center,HHC,58,244.8,1363.1,51,253.5,1476.8,100 North Portland Ave,Brooklyn,NY,11205,198000,1952
3,4812,1,3327674,Dr. S.S. McKinney Nursing & Rehab Center,HHC,N/A,289.3,1423,N/A,285.4,1403.8,594 Albany Ave,Brooklyn,NY,11203,175000,1991
3,3738,15,3083929,East New York Diagnostic & Treatment Center,HHC,12,401.3,915.6,10,390.1,893.4,2094 Pitkin Ave,Brooklyn,NY,11207,60720,1973
4,1489,38,4036814,Elmhurst Hospital Campus: DOC Sample Building,HHC,91,343.5,21078.2,90,340.5,20820.2,78-03 41st Ave,Elmhurst,NY,11373,3808,2002
4,1500,2,4437132,Elmhurst Hospital Campus: Elmhurst Hospital Center,HHC,91,343.5,21078.2,90,340.5,20820.2,79-01 Broadway,Elmhurst,NY,11373,1502532,1949
4,1489,35,4529559,Elmhurst Hospital Campus: Employee Health Office,HHC,91,343.5,21078.2,90,340.5,20820.2,78-07 41st Ave,Elmhurst,NY,11373,3808,2002
4,1497,1,4037028,Elmhurst Hospital Campus: Hope Pavilion - Elmhurst Hospital,HHC,91,343.5,21078.2,90,340.5,20820.2,77-04 41st Ave,Elmhurst,NY,11373,23954,2008
4,1500,2,9999999,Elmhurst Hospital Campus: Parking Garage,HHC,91,343.5,21078.2,90,340.5,20820.2,41st Ave & 78th St,Elmhurst,NY,11373,191250,1980
1,270,32,1003224,Gouverneur Health Care Services,HHC,N/A,289.1,5909.8,N/A,356.1,7267.8,227 Madison St,New York,NY,10002,450232,1970
1,1734,1,1082167,Harlem Hospital Campus: Harlem Hospital K Building,HHC,43,458,19158.3,27,491.6,20953.3,3-13 West 136th St,New York,NY,10037,121000,1956
1,1734,1,1082172,Harlem Hospital Campus: Harlem Hospital Ron Brown Pavilion,HHC,43,458,19158.3,27,491.6,20953.3,46 West 137th St,New York,NY,10037,180000,1990
1,1734,1,1082170,Harlem Hospital Campus: Harlem Hospital Women's Pavilion,HHC,43,458,19158.3,27,491.6,20953.3,15 West 136th St,New York,NY,10037,165900,1934
1,70,43,1001135,HHC Central Office,HHC,98,146.8,976.2,97,152.1,1011,160 Water St,New York,NY,10038,533740,1971
3,6990,1,3188417,Ida G Israel Community Health Center Campus: Health Center,HHC,100,139,174.1,100,145.7,188.4,2201 Neptune Ave,Brooklyn,NY,11224,40300,1910
3,6965,125,3188220,Ida G Israel Community Health Center Campus: Mental Health,HHC,100,139,174.1,100,145.7,188.4,2301 Neptune Ave,Brooklyn,NY,11224,4500,1936
2,4205,1,2097551,Jacobi Medical Center Campus: Bronx Municipal Hospital,HHC,23,518.1,28454.6,19,523,28994.6,1910 Seminole Ave,Bronx,NY,10461,0,1957
2,4205,1,2097550,Jacobi Medical Center Campus: Bronx Municipal Hospital Jacobi,HHC,23,518.1,28454.6,19,523,28994.6,1400 Pelham Pkwy South,Bronx,NY,10461,1465200,1955
2,4205,1,2097551,Jacobi Medical Center Campus: Bronx Municipal Hospital Seminole,HHC,23,518.1,28454.6,19,523,28994.6,1910 Seminole Ave,Bronx,NY,10461,55300,1955
3,4829,1,3327720,Kings County Hospital Campus: Building Z - Powerhouse,HHC,1,1054.6,52213.7,1,998.7,48616.4,516 Winthrop St,Brooklyn,NY,11203,25215,1930
3,4812,1,9999999,Kings County Hospital Campus: Kings County Hospital Building K-5,HHC,1,1054.6,52213.7,1,998.7,48616.4,Albany & Winthrop,Brooklyn,NY,11203,62200,1930
3,4829,1,3327711,"Kings County Hospital Campus: Kings County Hospital Buildings A, B, C",HHC,1,1054.6,52213.7,1,998.7,48616.4,451 Clarkson Ave,Brooklyn,NY,11203,655128,1930
3,4829,1,3327725,"Kings County Hospital Campus: Kings County Hospital Buildings T, U, Z",HHC,1,1054.6,52213.7,1,998.7,48616.4,383-597 Clarkson Ave,Brooklyn,NY,11203,301000,1930
3,4812,1,3327681,Kings County Hospital Campus: Kings County Hospital Central Laundry,HHC,1,1054.6,52213.7,1,998.7,48616.4,645 Kingston Ave,Brooklyn,NY,11203,140000,1963
3,4812,1,3329549,Kings County Hospital Campus: Kings County Hospital Food Service,HHC,1,1054.6,52213.7,1,998.7,48616.4,599 Kingston Ave,Brooklyn,NY,11203,50000,1991
3,4812,1,3329549,Kings County Hospital Campus: Kings County Hospital Support Office,HHC,1,1054.6,52213.7,1,998.7,48616.4,655 Kingston Ave,Brooklyn,NY,11203,50000,1990
1,1901,29,1057405,Lenox Health Clinic,HHC,90,84.4,165.8,84,96.9,197.1,115 West 116th St,New York,NY,10026,51072,1920
2,2303,58,2000645,Lincoln Detox Center Clinic (Substance Abuse Div.),HHC,55,176.8,148.8,58,159.4,131.9,349 East 140th St,Bronx,NY,10454,21675,1936
2,2335,16,2097050,Lincoln Hospital,HHC,89,362.1,20160.3,86,367.3,20374.3,234 East 149th St,Bronx,NY,10451,1593305,1972
1,2060,1,1061339,Lower Washington Heights NFCC Clinic,HHC,20,384.4,1004.7,17,373.9,974,1721 Amsterdam Ave,New York,NY,10031,70000,1974
1,1669,1,1083929,Metropolitan Hospital Center,HHC,100,260.7,7909.4,100,260.1,7888.9,1901 1st Ave,New York,NY,10029,1075000,1953
2,2489,60,2003015,Morrisania DTC Center,HHC,42,277.9,837.3,42,259.8,783.8,1225 Gerard Ave,Bronx,NY,10452,96200,1973
2,3327,200,2017787,North Central Bronx Hospital,HHC,19,567.9,13263,15,575.8,13357.7,3424 Kossuth Ave,Bronx,NY,10467,644928,1972
4,6858,1,4442433,Queens Hospital Center,HHC,90,337.7,11979.4,57,422,15348.8,82-70 164th St,Queens,NY,11432,1000000,1939
2,2269,21,2090354,S.R. Belvis DTC Center,HHC,57,198.9,622.4,52,199.7,626.8,545 East 142nd St,Bronx,NY,10454,88000,1972
5,955,75,5113197,Seaview Hospital,HHC,N/A,266.3,5071.6,N/A,204.5,3543,460 Brielle Ave,Staten Island,NY,10314,458172,1973
3,1723,1,3048341,Woodhull Hospital,HHC,18,563.8,18436.6,12,587.6,19346.3,760 Broadway,Brooklyn,NY,11206,1100000,1972
2,2808,4,2007681,151 East Tremont Ave,HPD,92,89.9,34.1,N/A,No Energy Use,No Energy Use,151 East Tremont Ave,Bronx,NY,10453,13500,1931
1,1986,65,1059727,3280 Broadway,HPD,84,164.5,263.8,96,111,171.1,3280 Broadway,New York,NY,10027,184044,1927
3,4461,1,3098536,699-701 Euclid Ave,HPD,82,187,127.3,81,187.8,126.8,699-701 Euclid Ave,Brooklyn,NY,11208,21920,1959
1,604,3,1010417,Bailey House Shelter,HPD,N/A,459.5,286.4,N/A,439.1,273.7,New York,New York,NY,10014,18190,1920
3,3338,1,3076376,Coalition for Hispanic Family Services,HPD,N/A,11.5,8.3,N/A,3.7,2.7,315 Wyckoff Ave,Brooklyn,NY,11237,25800,1929
3,2885,1,3338304,Shelter Building #2,HPD,N/A,30.4,150.9,N/A,43.9,218,Brooklyn,Brooklyn,NY,11211,97780,1910
2,3770,80,2025026,Adult Protective Services Offices,HRA,70,345.6,125.7,73,330.2,118.4,1209 Colgate Ave,Bronx,NY,10472,11659,1925
3,5854,36,3144669,Bayridge Job Center #70 Offices,HRA,56,213.8,389.3,57,208.5,381.5,6740 4th Ave,Brooklyn,NY,11220,56365,1920
3,1548,19,3042090,Bedford Multi Service Center,HRA,97,89.1,297.2,99,76.9,247.1,1001 Herkimer St,Brooklyn,NY,11233,113668,1912
3,3496,4,3080726,Brownsville Multi Service Center,HRA,65,175,280.1,67,168.3,271.4,444 Hopkinson Ave,Brooklyn,NY,11212,43726,1930
3,2276,12,3061504,Bushwick Job Center,HRA,70,214.1,461.9,73,202.2,448.4,731 Flushing Ave,Brooklyn,NY,11206,69198,1969
3,3444,22,3080067,Bushwick Multi Service Center,HRA,53,224.2,467.9,50,227.6,487.2,1420 Bushwick Ave,Brooklyn,NY,11207,52000,1925
3,7071,123,3189654,Coney Island Job Center Office,HRA,79,194.2,365,75,202.8,377.9,3050 West 21st St,Brooklyn,NY,11224,60999,1925
2,3060,32,2011826,Crotona Job Center #41 Offices,HRA,61,306.5,663,56,318.2,688.4,1916 Monterey Ave,Bronx,NY,10457,76962,1927
3,1941,20,3055395,DeKalb Job Center #64 Offices,HRA,19,370.6,790.8,33,310.5,605.1,492 Dekalb Ave,Brooklyn,NY,11205,60350,1969
1,1775,33,1054497,East End Social Services Office,HRA,69,222.7,361,68,220.5,358.5,2322 3rd Ave,New York,NY,10035,61397,1974
1,1808,8,1054888,East Harlem Multi Service Center,HRA,99,77,204.7,99,76.2,202.4,413 East 120th St,New York,NY,10035,93441,1954
3,4214,1,3094690,Euclid Job Center #78,HRA,27,380.3,515,27,374.2,504.7,475 Euclid Ave,Brooklyn,NY,11208,44751,1969
1,1909,12,1057820,FIA & CASA Services,HRA,100,35.8,96,100,38.1,102.1,132 West 125th St,New York,NY,10027,95334,1940
1,872,13,1017821,FIA/MICSA Social Services Office,HRA,82,233.2,2206.5,89,196.6,1796.4,109 East 16th St,New York,NY,10003,287000,1909
3,174,18,3000602,FIA/OCP Offices,HRA,79,209,295.9,80,203.9,288.7,501 State St,Brooklyn,NY,11217,50361,1928
4,249,7501,4003444,Food St & Elig Verif/ORI/EVR,HRA,13,449.3,709.4,14,435.3,687.3,32-02 Queens Blvd,Queens,NY,11101,56166,1995
2,3293,8,2016777,Fordham Model Office,HRA,64,351.6,365.3,66,340.9,360.8,2547 Bainbridge Ave,Bronx,NY,10458,31116,1955
1,1912,12,1057904,Help Harbor Transitional Housing Site I,HRA,N/A,178.5,912.9,N/A,148.5,787.4,127 West 127th St,New York,NY,10027,134468,1938
1,1911,43,1057874,Help Harbor Transitional Housing Site II,HRA,N/A,102.4,374.2,N/A,95.2,342.6,126 West 127th St,New York,NY,10027,95000,1910
2,2643,1,2004558,Hunt Point Multi Service Center,HRA,6,363.8,331.9,5,363.6,329.7,630 Jackson Ave,Bronx,NY,10455,36716,1920
4,9815,56,4210062,Jamaica Job Center,HRA,88,169.4,439,89,163.4,423.4,8811 165th St,Queens,NY,11432,92193,1972
3,165,1,3000495,Linden Model Office,HRA,88,167.4,890.4,88,164.3,873.1,210 Livingston St,Brooklyn,NY,11201,187115,1950
2,2443,100,2002457,Melrose Job Center #40 Offices,HRA,63,284,997.4,55,305.8,1074.1,260 East 161st St,Bronx,NY,10451,124948,1930
5,497,1,5013236,MICSA/APS/HOME CARE Offices Staten Island,HRA,35,268.9,121.3,36,261.3,121.7,215 Bay St,Staten Island,NY,10301,13893,1925
2,2856,20,2008289,MICSA/HASA Concourse Office,HRA,56,327.1,317.4,63,297.8,289,1365 Jerome Ave,Bronx,NY,10452,38353,1966
3,174,13,3000601,MICSA/HASA Office,HRA,80,210.2,265,90,174.3,219.8,485 State St,Brooklyn,NY,11217,44841,1967
3,928,1,3018375,MICSA/Medical Assistance Program Offices,HRA,81,200.1,187.5,84,189.3,181.1,387 Dean St,Brooklyn,NY,11217,30000,1964
2,2758,6,2006302,New Day Family Residence I,HRA,100,36.4,111.9,100,32.7,100.4,1138 Longfellow Ave,Bronx,NY,10459,74778,1915
2,2758,36,2006311,New Day Family Residence II,HRA,92,88.3,261.4,95,75.4,224.2,1275 Westchester Ave,Bronx,NY,10459,74778,1925
1,577,34,1009716,Office HASA Services & FIA/Food Stamps,HRA,38,314.8,1152.6,34,322.6,1177.2,8 West 14th St,New York,NY,10011,120025,1946
1,779,75,1014306,Office HASA/MICSA/APS Social Services,HRA,82,204.1,434.9,83,196.1,417.7,400 8th Ave,New York,NY,10001,75796,1924
1,70,32,1001134,Office HRA Commissioner & Program Administrators,HRA,28,412.6,6605.7,28,408,6568.8,180 Water St,New York,NY,10038,430000,1971
1,698,1,1012389,Office MICSA & Trades Support Services,HRA,88,158.1,774,86,163.1,798.6,260 11th Ave,New York,NY,10001,174186,1911
2,2795,14,2094521,Office MICSA/HASA services,HRA,56,247,240.4,55,245.7,239.1,1790 Grand Concourse,Bronx,NY,10457,34619,1917
3,2094,1,3058595,Office of Child Support Enforcement,HRA,67,185.2,161.1,64,187.6,163.2,10 Metrotech Ctr,Brooklyn,NY,11217,30937,1963
3,165,22,3329443,Office of Food Stamps & Eligibility Verification,HRA,84,174.1,1063.3,83,175.8,1073.5,240 Livingston St,Brooklyn,NY,11201,217265,1920
3,7279,162,3345783,Office of Food Stamps 22 & 28,HRA,44,268.1,271.5,68,201.5,217,2857 West 8th St,Brooklyn,NY,11224,32277,1931
3,173,1,3000573,Office of Fraud Investigation,HRA,8,549.3,435.1,8,545.8,440.3,320 Schermerhorn St,Brooklyn,NY,11217,24607,1949
1,1988,53,1059778,Offices Home Care & HASA services,HRA,45,262.1,366.2,46,255.6,360.7,520 West 135th St,New York,NY,10031,43000,1915
1,757,54,1013553,Offices MICSA/MAP/APS Social Services,HRA,81,228.4,1712,85,208.4,1562.1,330 West 34th St,New York,NY,10001,266705,1926
3,2047,40,3348771,Offices of Information Services,HRA,N/A,669.1,3622.7,N/A,638.1,3454.9,15 Metrotech,Brooklyn,NY,11201,192620,2002
5,497,9,5013238,Offices of Richmond Job Center,HRA,58,279.1,309.1,52,291.6,324.4,201 Bay St,Staten Island,NY,10301,35000,1931
1,177,2,1001971,Offices Support Services & Fraud Investigation,HRA,56,288.5,1452.7,52,297.1,1495.8,250 Church St,New York,NY,10013,179098,1948
