Borough Name,Community Board,BIN,House Number,Street Name,Complaint Number,Date Complaint Received,DOBRunDate
Manhattan,111,1052637,247         ,EAST 117 STREET                 ,1319255,2012-02-27 00:00:00,2013-02-27 00:00:00
Manhattan,111,1812163,240         ,EAST 118 STREET                 ,1319254,2012-02-27 00:00:00,2013-02-27 00:00:00
Manhattan,110,1060754,308         ,WEST  142 STREET                ,1257499,2009-06-02 00:00:00,2013-02-27 00:00:00
Manhattan,111,1803052,411         ,EAST 115 STREET                 ,1319250,2012-02-27 00:00:00,2013-02-27 00:00:00
Manhattan,110,1804139,113         ,LENOX AVENUE                    ,1321530,2012-03-27 00:00:00,2013-02-27 00:00:00
Manhattan,104,1012344,559         ,WEST 23 STREET                  ,1319256,2012-02-27 00:00:00,2013-02-27 00:00:00
Manhattan,111,1800114,1986        ,2 AVENUE                        ,1321132,2012-03-21 00:00:00,2013-02-27 00:00:00
Manhattan,106,1037572,235         ,EAST   44 STREET                ,1256315,2009-05-15 00:00:00,2013-02-27 00:00:00
Manhattan,104,1088873,552         ,WEST 24 STREET                  ,1319257,2012-02-27 00:00:00,2013-02-27 00:00:00
Manhattan,104,1012344,559         ,WEST 23 STREET                  ,1321139,2012-03-21 00:00:00,2013-02-27 00:00:00
Manhattan,111,1813348,410         ,EAST 115 STREET                 ,1321134,2012-03-21 00:00:00,2013-02-27 00:00:00
Manhattan,103,1803979,126         ,HESTER STREET                   ,1256042,2009-05-12 00:00:00,2013-02-27 00:00:00
Manhattan,106,1085119,950         ,   2 AVENUE                     ,1252817,2009-04-02 00:00:00,2013-02-27 00:00:00
Manhattan,104,1014965,146         ,WEST 24 STREET                  ,1332464,2012-08-27 00:00:00,2013-02-27 00:00:00
Manhattan,111,1054044,81          ,EAST  125 STREET                ,1252769,2009-04-02 00:00:00,2013-02-27 00:00:00
Manhattan,105,1088896,815         ,   6 AVENUE                     ,1252768,2009-04-02 00:00:00,2013-02-27 00:00:00
Manhattan,106,1039801,959         ,   1 AVENUE                     ,1252807,2009-04-02 00:00:00,2013-02-27 00:00:00
Manhattan,103,1088498,139         ,ORCHARD STREET                  ,1252597,2009-03-31 00:00:00,2013-02-27 00:00:00
Manhattan,104,1088873,552         ,WEST 24 STREET                  ,1321140,2012-03-21 00:00:00,2013-02-27 00:00:00
Manhattan,101,1087661,50          ,WEST STREET                     ,1252724,2009-04-01 00:00:00,2013-02-27 00:00:00
Manhattan,105,1036471,610         ,LEXINGTON AVENUE                ,1252814,2009-04-02 00:00:00,2013-02-27 00:00:00
Manhattan,103,1088619,324         ,GRAND STREET                    ,1257502,2009-06-02 00:00:00,2013-02-27 00:00:00
Manhattan,111,1811219,2264        ,2 AVENUE                        ,1321133,2012-03-21 00:00:00,2013-02-27 00:00:00
Manhattan,103,1088693,75          ,   1 AVENUE                     ,1252775,2009-04-02 00:00:00,2013-02-27 00:00:00
Manhattan,111,1803053,433         ,EAST 115 STREET                 ,1319251,2012-02-27 00:00:00,2013-02-27 00:00:00
Manhattan,110,1088829,11          ,WEST  125 STREET                ,1252808,2009-04-02 00:00:00,2013-02-27 00:00:00
Manhattan,111,1813338,308         ,EAST  109 STREET                ,1257500,2009-06-02 00:00:00,2013-02-27 00:00:00
Manhattan,106,1088713,325         ,LEXINGTON AVENUE                ,1252795,2009-04-02 00:00:00,2013-02-27 00:00:00
Manhattan,111,1051602,1642        ,MADISON AVENUE                  ,1257511,2009-06-02 00:00:00,2013-02-27 00:00:00
Manhattan,103,1005400,179         ,LUDLOW STREET                   ,1252777,2009-04-02 00:00:00,2013-02-27 00:00:00
Manhattan,104,1088525,245         ,WEST   14 STREET                ,1253062,2009-04-06 00:00:00,2013-02-27 00:00:00
