QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
4-06574-0002,"69 136 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,24,1949,20920,313800,15,140164,6.7,173636,660000,31.55,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.12,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.54,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.63
4-06574-0005,"69 137 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,16,1949,14140,212100,15,94738,6.7,117362,447000,31.61,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.12,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.54,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.63
4-06574-0016,"69 137 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,24,1949,20920,313800,15,140164,6.7,173636,660000,31.55,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.12,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.54,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.63
4-06574-0030,"69 136 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,18,1949,16940,254100,15,113498,6.7,140602,535000,31.58,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.12,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.54,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.63
4-06587-0006,"135 77 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,174,1937,130440,1899206,14.56,845251,6.48,1053955,7283000,55.83,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.62,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.59,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.53
4-06607-0001,"138 77 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,132,1937,107884,1557845,14.44,699088,6.48,858757,3410000,31.61,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.61,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.47,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.39
4-06609-0007,"138 78 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,64,1937,54136,783889,14.48,347553,6.42,436336,2068000,38.2,4-06679-0006,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,72,1950,58392,843159,14.44,364755,6.25,478404,2585000,44.27,0.58,4-06681-0001,"72 150 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,69,1950,56075,821393,14.65,366654,6.54,454739,2519000,44.92,0.51,4-06682-0018,147 73 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,72,1950,"58,392","838,009",14.35,"378,290",6.48,"459,719","2,574,000",44.08,0.48
4-06628-0001,"141 77 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,56,1937,44135,662025,15,295705,6.7,366320,2340000,53.02,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.62,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.42,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.32
4-06630-0015,"141 78 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,60,1949,45750,686250,15,306525,6.7,379725,2167000,47.37,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.7,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.46,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.34
4-06630-0030,"77 MAIN STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,45,1949,34329,514935,15,230004,6.7,284931,1518000,44.22,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.7,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.46,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.34
4-06631-0001,"141 78 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,181,1940,151869,2278035,15,1017522,6.7,1260513,6589000,43.39,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.74,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.5,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.38
4-06632-0001,"141 78 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,180,1940,151869,2278035,15,1017522,6.7,1260513,5797000,38.17,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.8,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.54,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.42
4-06633-0001,"141 79 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,181,1940,151869,2278035,15,1017522,6.7,1260513,5819000,38.32,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.85,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.59,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.46
4-06656-0063,"70 KISSENA BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,248,1952,225968,3213265,14.22,1606632,7.11,1606633,8657000,38.31,4-06702-0001,"150 72 DRIVE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,144,1950,116784,1700150,14.56,756580,6.48,943570,5214000,44.65,0.31,4-06703-0002,"150 73 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,144,1950,116784,1684258,14.42,756580,6.48,927678,5170000,44.27,0.37,4-06704-0001,150 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,144,1950,"116,784","1,686,319",14.44,"756,580",6.48,"929,739","5,181,000",44.36,0.41
4-06658-0039,"144 71 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,26,1949,23880,358200,15,159996,6.7,198204,1364000,57.12,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.31,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.17,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.31
4-06659-0021,"144 71 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,56,1949,51915,778725,15,347831,6.7,430894,1991000,38.35,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.33,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.14,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.26
4-06660-0040,"144 VLEIGH PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,26,1949,23936,359040,15,160371,6.7,198669,914000,38.19,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.36,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.11,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.22
4-06668-0028,"144 77 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,26,1948,23712,355680,15,158870,6.7,196810,905000,38.17,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.68,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.36,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.23
4-06669-0007,"144 77 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,36,1948,40480,607200,15,271216,6.7,335984,1551000,38.32,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.73,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.41,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.27
4-06669-0027,"144 77 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,27,1948,31860,477900,15,213462,6.7,264438,1210000,37.98,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.73,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.41,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.27
4-06670-0001,"78 MAIN STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,150,1949,110298,1654470,15,738997,6.7,915473,4213000,38.2,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.78,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.46,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.32
4-06671-0001,"78 MAIN STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,150,1949,110298,1654470,15,738997,6.7,915473,4202000,38.1,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.82,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.5,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.36
4-06676-0019,"147 71 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,11,1949,6000,90000,15,40200,6.7,49800,332000,55.33,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.37,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.2,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.34
4-06676-0020,"147 71 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,24,1948,21600,324000,15,144720,6.7,179280,1194000,55.28,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.37,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.2,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.34
4-06677-0001,"71 150 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,100,1949,92296,1324703,14.35,572289,6.2,752414,3168000,34.32,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.39,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.15,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.29
4-06678-0001,"71 147 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,100,1949,92296,1324699,14.35,572321,6.2,752378,2915000,31.58,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.41,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.1,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.24
4-06690-0001,"78 147 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C6-WALK-UP,60,1949,43345,650175,15,290412,6.7,359763,1650000,38.07,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,0.87,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.49,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.34
4-06690-0016,"149 79 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D4-ELEVATOR,182,1955,178650,3035264,16.99,1311291,7.34,1723973,8019000,44.89,4-06712-0032,"150 79 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D1-ELEVATOR,60,1961,52662,894727,16.99,456580,8.67,438147,2299000,43.66,0.12,4-06853-0006,"80 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",HILLCREST,D1-ELEVATOR,112,1962,58089,1030499,17.74,515249,8.87,515250,3487000,60.03,0.34,4-06636-0001,135 GRAND CENTRAL PARKWAY,BRIARWOOD,D1-ELEVATOR,181,1952,"125,164","1,891,424",15.11,"984,785",7.87,"906,639","6,235,000",49.81,0.50
4-06698-0040,"150 71 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D4-ELEVATOR,536,1952,466368,7923592,16.99,3423141,7.34,4500451,17930000,38.45,4-06712-0032,"150 79 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D1-ELEVATOR,60,1961,52662,894727,16.99,456580,8.67,438147,2299000,43.66,0.65,4-06853-0006,"80 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",HILLCREST,D1-ELEVATOR,112,1962,58089,1030499,17.74,515249,8.87,515250,3487000,60.03,0.77,4-06636-0001,135 GRAND CENTRAL PARKWAY,BRIARWOOD,D1-ELEVATOR,181,1952,"125,164","1,891,424",15.11,"984,785",7.87,"906,639","6,235,000",49.81,0.93
4-06711-0027,"150 79 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D4-ELEVATOR,75,1965,80200,1325706,16.53,662853,8.27,662853,2596000,32.37,4-04995-0073,"144 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,84,1969,76140,1290387,16.95,463275,6.08,827112,4587000,60.24,3.21,4-04994-0078,"139 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,90,1967,79050,1306385,16.53,533792,6.75,772593,5593000,70.75,3.22,, , , , , , , , , , , , , , 
4-06715-0002,"81 150 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",HILLCREST,C6-WALK-UP,685,1947,704500,10567500,15,4720150,6.7,5847350,31350000,44.5,4-06595-0032,"139 JEWEL AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,24,1949,20920,334391,15.98,152629,7.3,181762,1010000,48.28,1.07,4-06680-0001,"147 72 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,C9-WALK-UP,96,1950,77856,1136573,14.6,504385,6.48,632188,3531000,45.35,0.7,4-06683-0017,147 75 AVENUE,FLUSHING-SOUTH,C9-WALK-UP,48,1950,"38,908","561,591",14.43,"252,193",6.48,"309,398","1,727,000",44.39,0.55
