ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
460,K450,14K474,PROGRESS High School for Professional Careers,K474,850 GRAND STREET,BROOKLYN,14,1003,850 GRAND STREET CONSOLIDATED LOCATION,3,"PROGRESS High School for Professional Careers | School for Legal Studies | The High School for Enterprise, Business and Techn | 850 GRAND STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A
461,K450,,850 GRAND STREET CONSOLIDATED LOCATION,,850 GRAND STREET,BROOKLYN,14,2763,850 GRAND STREET CONSOLIDATED LOCATION,3,"PROGRESS High School for Professional Careers | School for Legal Studies | The High School for Enterprise, Business and Techn | 850 GRAND STREET CONSOLIDATED LOCATION",3,10,56,1,2,11C,2501-3000,2.93,11.4,37.4,1.13,1.8
462,K455,16K455,Boys and Girls High School,K455,1700 FULTON STREET,BROOKLYN,16,1943,,1,Boys and Girls High School,2,9,51,0,2,9C,1751-2000,1.31,7.85,20.31,0.54,0.77
463,K458,13K575,Bedford Stuyvesant Preparatory High School,K575,832 MARCY AVENUE,BROOKLYN,13,130,832 MARCY AVENUE CONSOLIDATED LOCATION,2,Brooklyn Academy High School | Bedford Stuyvesant Preparatory High School | 832 MARCY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
464,K458,13K553,Brooklyn Academy High School,K553,832 MARCY AVENUE,BROOKLYN,13,195,832 MARCY AVENUE CONSOLIDATED LOCATION,2,Brooklyn Academy High School | Bedford Stuyvesant Preparatory High School | 832 MARCY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
465,K458,,832 MARCY AVENUE CONSOLIDATED LOCATION,,832 MARCY AVENUE,BROOKLYN,13,325,832 MARCY AVENUE CONSOLIDATED LOCATION,2,Brooklyn Academy High School | Bedford Stuyvesant Preparatory High School | 832 MARCY AVENUE CONSOLIDATED LOCATION,0,3,7,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
466,K460,15K463,Secondary School for Journalism,K463,237 7 AVENUE,BROOKLYN,15,389,237 7 AVENUE CONSOLIDATED LOCATION,4,Secondary School for Law | Secondary School for Journalism | Park Slope Collegiate | ALC - John Jay | 237 7 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
467,K460,15K464,Park Slope Collegiate,K464,237 7 AVENUE,BROOKLYN,15,426,237 7 AVENUE CONSOLIDATED LOCATION,4,Secondary School for Law | Secondary School for Journalism | Park Slope Collegiate | ALC - John Jay | 237 7 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
468,K460,15K462,Secondary School for Law,K462,237 7 AVENUE,BROOKLYN,15,522,237 7 AVENUE CONSOLIDATED LOCATION,4,Secondary School for Law | Secondary School for Journalism | Park Slope Collegiate | ALC - John Jay | 237 7 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
469,K460,,237 7 AVENUE CONSOLIDATED LOCATION,,237 7 AVENUE,BROOKLYN,15,1337,237 7 AVENUE CONSOLIDATED LOCATION,4,Secondary School for Law | Secondary School for Journalism | Park Slope Collegiate | ALC - John Jay | 237 7 AVENUE CONSOLIDATED LOCATION,5,23,32,4,1,7C,1251-1500,0.81,3.68,6.85,0.4,0.41
