BN,SCHOOL NAME,PROGRESS REPORT TYPE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K473,Williamsburg Charter High School,HS,D,C,B,None
K474,PROGRESS High School for Professional Careers,HS,B,B,C,B
K477,School for Legal Studies,HS,D,D,D,C
K478,"The High School for Enterprise, Business and Techn",HS,A,A,A,A
K483,"Urban Assembly School for Law and Justice, The",HS,A,A,A,None
K484,Ronald Edmonds Learning Center II,EMS,C,A,A,None
K485,High School of Telecommunication Arts and Technolo,HS,A,A,A,A
K488,Brooklyn Preparatory High School,HS,A,A,A,None
K489,W.E.B. Dubois Academic High School,HS,None,None,None,C
K489,W.E.B. Dubois Academic High School,HST,C,B,B,None
K490,Fort Hamilton High School,HS,B,B,B,B
K492,Urban Assembly Academy of Arts and Letters,EMS,B,B,A,None
K493,Brooklyn Collegiate: A College Board School,EMS,D,B,D,D
K493,Brooklyn Collegiate: A College Board School,HS,C,B,B,None
K495,Sheepshead Bay High School,HS,C,C,B,C
K497,School for International Studies,EMS,A,A,C,A
K497,School for International Studies,HS,B,A,B,B
K498,ACORN High School for Social Justice,HS,A,A,B,F
K499,ACORN Community High School,HS,A,B,A,B
K500,Canarsie High School,HS,None,None,None,F
K501,Learning To Work YABC At Canarsie High School,YABC,C,None,None,None
K502,FDNY High School for Fire and Life Safety,HS,C,C,F,None
K503,PS 503: The School of Discovery,EMS,B,A,A,None
K504,High School for Civil Rights,HS,B,C,C,None
K505,Franklin Delano Roosevelt High School,HS,B,B,B,A
K506,P.S. 506: The School of Journalism & Technology,EMS,B,A,A,None
K507,Performing Arts and Technology High School,HS,B,B,A,None
K508,Achievement First Endeavor Charter School,EMS,C,A,A,None
K509,Freedom Academy High School,HS,B,C,B,C
K510,World Academy for Total Community Health High Scho,HS,B,B,B,None
K513,East New York Preparatory Charter School,EMS,None,None,None,None
K514,Frederick Douglass Academy VII High School,HS,B,B,B,None
K515,South Shore High School,HS,None,None,None,None
K517,Leadership Prep Charter School,EMS,B,None,None,None
K518,Kappa V,EMS,C,A,C,C
K519,Cobble Hill School of American Studies,HS,B,B,C,D
K520,Pacific High School,HS,None,None,None,D
K520,Pacific High School,HST,C,F,C,None
K522,Mott Hall IV,EMS,C,A,C,C
K524,International High School at Prospect Heights,HS,B,A,A,None
K525,Edward R. Murrow High School,HS,A,B,B,B
K527,Urban Assembly Institute of Math and Science for Y,EMS,D,C,B,None
K527,Urban Assembly Institute of Math and Science for Y,HS,None,None,None,None
K528,"High School for Global Citizenship, The",HS,C,C,B,None
K529,West Brooklyn Community High School,HST,A,A,A,None
K530,Metropolitan Corporate Academy High School,HS,C,D,C,C
K531,"School for Human Rights, The",EMS,B,A,B,F
K531,"School for Human Rights, The",HS,A,A,B,None
K533,School for Democracy and Leadership,EMS,C,B,C,F
K533,School for Democracy and Leadership,HS,C,B,A,None
K534,Upper School @ P.S. 25,EMS,C,B,C,None
K535,Leon M. Goldstein High School for the Sciences,HS,B,A,A,B
K536,Community Roots Charter School,EMS,F,None,None,None
K537,High School for Youth and Community Development at,HS,C,C,B,None
K538,Achievement First Bushwick Charter School,EMS,B,A,None,None
K539,High School for Service & Learning at Erasmus,HS,A,A,A,None
K540,John Dewey High School,HS,C,C,C,B
K543,"Science, Technology and Research Early College Hig",EMS,C,B,A,None
K543,"Science, Technology and Research Early College Hig",HS,A,A,A,B
K544,International Arts Business School,HS,C,D,B,B
K545,EBC High School for Public Service - Bushwick,HS,C,C,B,C
K546,High School for Public Service: Heroes of Tomorrow,HS,A,A,A,B
K547,Brooklyn Academy of Science and the Environment,HS,A,C,B,B
K548,Brooklyn School for Music & Theatre,HS,A,B,A,B
K549,Bushwick School for Social Justice,HS,A,A,A,A
K552,Academy of Urban Planning,HS,B,B,B,C
K553,Brooklyn Academy High School,HS,None,None,None,B
K553,Brooklyn Academy High School,HST,A,A,A,None
K554,All City Leadership Secondary School,EMS,C,A,A,C
K554,All City Leadership Secondary School,HS,A,A,A,B
K555,Brooklyn College Academy,EMS,B,B,B,D
K555,Brooklyn College Academy,HS,A,A,A,B
K556,Bushwick Leaders High School for Academic Excellen,HS,B,B,B,B
K558,Williamsburg High School for Architecture and Desi,HS,A,A,B,None
K559,Life Academy High School for Film and Music,HS,None,None,None,None
K561,Williamsburg Preparatory School,HS,A,A,A,None
K563,It Takes a Village Academy,HS,None,None,None,None
K564,Bushwick Community High School,HS,None,None,None,C
K564,Bushwick Community High School,HST,B,B,B,None
K566,Brooklyn Generation School,HS,None,None,None,None
