NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ST. ALBANS               ,01 ONE FAMILY HOMES                        ,284,$160000.00,$416969.00,$414745.00,$734000.00
ST. ALBANS               ,02 TWO FAMILY HOMES                        ,127,$150000.00,$521685.00,$540000.00,$950000.00
ST. ALBANS               ,03 THREE FAMILY HOMES                      ,5,$390000.00,$551000.00,$535000.00,$810000.00
SUNNYSIDE                ,01 ONE FAMILY HOMES                        ,22,$360000.00,$599595.00,$587500.00,$900000.00
SUNNYSIDE                ,02 TWO FAMILY HOMES                        ,32,$150000.00,$708556.00,$751500.00,$1000000.00
SUNNYSIDE                ,03 THREE FAMILY HOMES                      ,10,$530000.00,$825493.00,$820000.00,$1141000.00
WHITESTONE               ,01 ONE FAMILY HOMES                        ,154,$150000.00,$796973.00,$645000.00,$4900000.00
WHITESTONE               ,02 TWO FAMILY HOMES                        ,63,$150000.00,$780882.00,$780000.00,$1180000.00
WHITESTONE               ,03 THREE FAMILY HOMES                      ,6,$188173.00,$757946.00,$750000.00,$1260000.00
WOODHAVEN                ,01 ONE FAMILY HOMES                        ,119,$205000.00,$454610.00,$443000.00,$750000.00
WOODHAVEN                ,02 TWO FAMILY HOMES                        ,122,$230000.00,$584485.00,$610130.00,$795000.00
WOODHAVEN                ,03 THREE FAMILY HOMES                      ,30,$210000.00,$622627.00,$620000.00,$785000.00
WOODSIDE                 ,01 ONE FAMILY HOMES                        ,49,$217500.00,$664771.00,$616000.00,$2000000.00
WOODSIDE                 ,02 TWO FAMILY HOMES                        ,52,$250000.00,$720973.00,$700500.00,$1410000.00
WOODSIDE                 ,03 THREE FAMILY HOMES                      ,20,$570000.00,$849783.00,$844000.00,$1100000.00
