DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
08X282,WOMEN'S ACADEMY OF EXCELLENCE,2006,75,50,10,13.30%,20.00%
08X282,WOMEN'S ACADEMY OF EXCELLENCE,2007,65,57,4,6.20%,7.00%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TE,2006,117,77,10,8.50%,13.00%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TE,2007,126,85,8,6.30%,9.40%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,2006,121,49,3,2.50%,6.10%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,2007,123,60,4,3.30%,6.70%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,2006,101,57,7,6.90%,12.30%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,2007,108,50,4,3.70%,8.00%
08X312,MILLENIUM ART ACADEMY,2006,108,63,7,6.50%,11.10%
08X312,MILLENIUM ART ACADEMY,2007,115,72,6,5.20%,8.30%
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2006,89,51,11,12.40%,21.60%
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2007,104,54,3,2.90%,5.60%
08X377,BRONX COMMUNITY HIGH SCHOOL,2006,79,10,s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,2007,107,15,s,s,s
08X405,HERBERT H LEHMAN HIGH SCHOOL,2006,"1,092",487,181,16.60%,37.20%
08X405,HERBERT H LEHMAN HIGH SCHOOL,2007,982,453,128,13.00%,28.30%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2006,7,0,s,s,s
08X452,BRONX GUILD HIGH SCHOOL,2006,64,40,1,1.60%,2.50%
08X452,BRONX GUILD HIGH SCHOOL,2007,85,56,1,1.20%,1.80%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,2006,99,52,0,0.00%,0.00%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,2007,81,43,3,3.70%,7.00%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,2006,89,44,1,1.10%,2.30%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,2007,126,53,1,0.80%,1.90%
08X560,HS 560 BRONX ACADEMY HIGH SCHOOL,2006,141,28,0,0.00%,0.00%
08X560,HS 560 BRONX ACADEMY HIGH SCHOOL,2007,176,31,0,0.00%,0.00%
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,2006,419,180,27,6.40%,15.00%
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,2007,362,137,17,4.70%,12.40%
08X686,NEW SCHOOL FOR ARTS AND SCIENCES,2006,1,0,s,s,s
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,2006,96,55,2,2.10%,3.60%
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,2007,91,41,1,1.10%,2.40%
09X231,EAGLE ACADEMY FOR YOUNG MEN,2006,100,63,14,14.00%,22.20%
09X231,EAGLE ACADEMY FOR YOUNG MEN,2007,117,82,12,10.30%,14.60%
09X239,URBAN ASSEMBLY ACAD-HISTORY AND CITIZENSHIP FOR YO,2006,74,31,2,2.70%,6.50%
09X239,URBAN ASSEMBLY ACAD-HISTORY AND CITIZENSHIP FOR YO,2007,83,33,5,6.00%,15.20%
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,2007,71,65,23,32.40%,35.40%
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY,2006,60,36,9,15.00%,25.00%
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY,2007,57,38,9,15.80%,23.70%
09X252,MOTT HALL BRONX HIGH SCHOOL,2006,107,83,3,2.80%,3.60%
09X252,MOTT HALL BRONX HIGH SCHOOL,2007,101,85,8,7.90%,9.40%
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,2006,100,88,59,59.00%,67.00%
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,2007,99,77,35,35.40%,45.50%
